age,gender,education,experience_years,role_seniority,company_size,location_tier,skills_count,certifications,worked_remote,last_promotion_years_ago,salary_bdt,recent_project_description_length,survey_date,recent_note
32,Female,M.Sc,10.0,Mid,SME,Tier-1,1.0,2.0,0,3.0,141073,62.0,2023-12-08,No relevant project mentioned
30,Female,M.Sc,4.0,Senior,Enterprise,Tier-2,5.0,1.0,0,2.0,106842,49.0,2024-10-05,Built ML pipeline for preprocessing
20,Male,PhD,0.0,Junior,SME,Tier-1,4.0,1.0,1,2.0,58452,67.0,2023-03-14,Experience in data cleaning and ETL
29,Female,M.Sc,5.0,Mid,Startup,Tier-1,3.0,1.0,0,2.0,88157,60.0,2023-06-12,Worked on microservices deployment
22,Male,B.Sc,0.0,Junior,SME,Tier-1,7.0,2.0,1,2.0,44834,66.0,2023-08-11,Built ML pipeline for preprocessing
34,Male,M.Sc,12.0,Junior,SME,Remote,4.0,2.0,0,,138043,44.0,2023-07-04,No relevant project mentioned
32,Male,B.Sc,7.0,Senior,Enterprise,Tier-1,3.0,3.0,0,1.0,129663,57.0,2023-04-05,None
24,Female,B.Sc+Cert,2.0,Mid,Startup,Remote,6.0,0.0,0,0.0,57307,74.0,2024-11-14,Contributed to open-source NLP repo
27,Male,B.Sc,2.0,Junior,Enterprise,Tier-1,4.0,2.0,0,,70870,71.0,2023-11-05,Built ML pipeline for preprocessing
24,Male,B.Sc,0.0,Mid,SME,Tier-3,3.0,2.0,1,6.0,35867,63.0,2023-05-28,Worked on microservices deployment
30,Male,M.Eng,8.0,Mid,Startup,Tier-1,6.0,1.0,1,1.0,119489,74.0,2023-11-15,Worked on microservices deployment
36,Female,M.Sc,15.0,Mid,SME,Tier-2,6.0,1.0,1,4.0,178466,49.0,2023-06-28,Built ML pipeline for preprocessing
24,Male,,3.0,Junior,SME,Tier-3,3.0,1.0,0,1.0,47185,75.0,2024-10-15,Contributed to open-source NLP repo
33,Female,B.Sc,10.0,Mid,Startup,Tier-3,6.0,1.0,1,2.0,122648,,2023-10-18,No relevant project mentioned
27,Male,B.Sc+Cert,3.0,Junior,Startup,Tier-3,6.0,2.0,1,5.0,53523,41.0,2024-09-13,None
25,Male,B.Sc,2.0,Senior,Enterprise,Tier-3,2.0,0.0,0,4.0,64991,49.0,2024-05-11,Experience in data cleaning and ETL
29,Male,,7.0,Mid,Enterprise,Tier-1,8.0,1.0,1,5.0,141761,76.0,2023-10-28,Worked on microservices deployment
24,Female,B.Sc,0.0,Mid,SME,Tier-2,3.0,1.0,1,0.0,39543,67.0,2023-06-10,Built ML pipeline for preprocessing
27,Female,M.Sc,6.0,Junior,Startup,Tier-2,10.0,1.0,1,0.0,87612,58.0,2023-03-02,Worked on microservices deployment
23,Male,M.Eng,0.0,Junior,Enterprise,Remote,4.0,1.0,0,1.0,55354,69.0,2023-03-13,Contributed to open-source NLP repo
42,Male,B.Sc,21.0,Junior,SME,Tier-1,,1.0,1,4.0,211724,69.0,2024-03-12,Worked on microservices deployment
30,Male,B.Sc,9.0,Lead,Startup,Remote,3.0,0.0,0,4.0,129239,82.0,2024-04-26,None
26,Male,B.Sc,7.0,Junior,Enterprise,Tier-2,8.0,3.0,1,0.0,107452,59.0,2023-04-25,Worked on microservices deployment
31,Male,M.Sc,8.0,Junior,Startup,Tier-2,7.0,0.0,0,0.0,105090,,2023-07-25,Contributed to open-source NLP repo
29,Male,B.Sc,7.0,Lead,SME,Tier-1,8.0,,1,4.0,140385,53.0,2023-11-30,Built ML pipeline for preprocessing
29,Male,M.Sc,4.0,Mid,SME,Tier-2,3.0,0.0,0,2.0,70812,39.0,2023-11-02,Built ML pipeline for preprocessing
34,Male,B.Sc,12.0,Senior,SME,Tier-3,6.0,0.0,0,2.0,154175,63.0,2024-07-07,Contributed to open-source NLP repo
35,Male,B.Sc,15.0,Junior,Startup,Tier-2,6.0,2.0,0,4.0,158487,59.0,2024-06-15,Built ML pipeline for preprocessing
27,Female,B.Sc,6.0,Mid,SME,Remote,7.0,0.0,0,0.0,85678,,2024-08-26,Worked on microservices deployment
27,Male,,5.0,Mid,Enterprise,Tier-3,3.0,,1,0.0,82466,67.0,2024-08-02,No relevant project mentioned
28,Male,M.Sc,4.0,Senior,SME,Tier-2,8.0,1.0,1,5.0,111538,59.0,2023-05-15,No relevant project mentioned
20,Female,B.Sc+Cert,0.0,Junior,SME,Remote,8.0,3.0,0,0.0,45068,81.0,2024-07-31,Worked on microservices deployment
21,Male,M.Sc,,Mid,Startup,Tier-2,5.0,0.0,0,0.0,46373,61.0,2023-05-31,None
38,Male,B.Sc,14.0,Senior,Enterprise,Tier-2,11.0,2.0,0,1.0,170945,,2024-07-01,Built ML pipeline for preprocessing
40,Male,B.Sc+Cert,13.0,Mid,Enterprise,Tier-1,2.0,1.0,0,1.0,174252,61.0,2023-05-20,Experience in data cleaning and ETL
29,Male,M.Sc,5.0,Mid,Enterprise,Tier-1,3.0,0.0,1,0.0,93485,53.0,2024-02-11,No relevant project mentioned
33,Male,B.Sc+Cert,9.0,Junior,SME,Tier-2,4.0,0.0,1,3.0,117053,63.0,2024-05-04,Contributed to open-source NLP repo
32,Male,B.Sc,8.0,Junior,Enterprise,Remote,4.0,1.0,0,7.0,91954,55.0,2023-07-24,Worked on microservices deployment
48,Female,B.Sc,23.0,Mid,Startup,Tier-1,8.0,0.0,0,0.0,251917,54.0,2023-10-22,None
37,Male,B.Sc,12.0,Mid,SME,Tier-1,4.0,3.0,1,4.0,139167,62.0,2024-08-04,Worked on microservices deployment
29,Male,M.Sc,5.0,Lead,SME,Tier-2,9.0,1.0,0,0.0,147637,69.0,2024-11-01,Contributed to open-source NLP repo
24,Male,B.Sc,0.0,Mid,SME,Tier-1,8.0,0.0,0,0.0,53719,53.0,2023-07-03,No relevant project mentioned
20,Male,B.Sc,0.0,Mid,Enterprise,Tier-3,4.0,1.0,0,2.0,45308,55.0,2023-01-18,None
31,Male,B.Sc,10.0,Senior,SME,Tier-3,7.0,1.0,0,7.0,125224,45.0,2024-01-18,Experience in data cleaning and ETL
25,Female,M.Sc,2.0,Junior,Startup,Tier-1,2.0,1.0,0,6.0,49884,73.0,2024-07-24,No relevant project mentioned
21,Male,M.Sc,,Mid,SME,Remote,6.0,0.0,1,0.0,56345,79.0,2024-09-12,Worked on microservices deployment
26,Male,B.Sc,4.0,Junior,SME,Tier-2,7.0,1.0,0,0.0,71365,71.0,2024-10-04,Contributed to open-source NLP repo
24,Male,B.Sc,,Junior,SME,Tier-2,5.0,4.0,1,6.0,63326,51.0,2024-06-25,None
40,Male,M.Sc,,Senior,Startup,Tier-1,,1.0,0,0.0,233649,50.0,2024-05-22,No relevant project mentioned
35,Other,B.Sc+Cert,11.0,Mid,Startup,Tier-2,5.0,1.0,1,3.0,131380,70.0,2023-07-11,No relevant project mentioned
30,Male,M.Sc,7.0,Mid,SME,Remote,6.0,1.0,0,,124659,52.0,2023-07-17,Built ML pipeline for preprocessing
39,Male,B.Sc+Cert,18.0,Mid,Enterprise,Tier-1,3.0,0.0,0,2.0,211269,59.0,2023-08-30,No relevant project mentioned
30,Male,M.Sc,7.0,Mid,Enterprise,Tier-1,5.0,2.0,0,2.0,134437,44.0,2023-04-01,No relevant project mentioned
25,Female,M.Sc,1.0,Junior,Enterprise,Tier-1,5.0,1.0,1,2.0,73940,56.0,2023-01-02,Contributed to open-source NLP repo
39,Male,,12.0,Mid,Enterprise,Tier-1,,1.0,1,4.0,151958,,2024-08-31,None
33,Male,M.Sc,11.0,Mid,Startup,Tier-1,7.0,3.0,1,0.0,153576,47.0,2024-04-09,Worked on microservices deployment
24,Female,M.Sc,0.0,Senior,Enterprise,Tier-1,5.0,1.0,0,1.0,103717,64.0,2023-10-12,Contributed to open-source NLP repo
29,Female,M.Sc,4.0,Junior,SME,Remote,6.0,0.0,0,1.0,77780,54.0,2023-01-04,Worked on microservices deployment
25,Male,B.Sc,6.0,Junior,Enterprise,Tier-3,3.0,0.0,0,0.0,75591,70.0,2023-08-26,No relevant project mentioned
22,Male,B.Sc,0.0,Mid,SME,Tier-1,5.0,1.0,0,,49477,56.0,2024-07-05,Contributed to open-source NLP repo
36,Male,B.Sc,11.0,Senior,Enterprise,Tier-3,4.0,1.0,0,,137559,65.0,2024-03-14,None
41,Male,B.Sc,18.0,Mid,SME,Tier-1,2.0,0.0,1,0.0,194747,63.0,2024-01-25,Built ML pipeline for preprocessing
22,Male,B.Sc,4.0,Mid,Startup,Tier-2,5.0,2.0,0,6.0,67831,58.0,2023-11-25,Contributed to open-source NLP repo
33,Male,M.Eng,10.0,Lead,SME,Tier-1,6.0,0.0,1,2.0,197931,66.0,2023-08-29,None
26,Male,B.Sc,0.0,Lead,Startup,Tier-1,3.0,0.0,0,2.0,56662,39.0,2024-09-06,No relevant project mentioned
27,Male,B.Sc,5.0,Mid,Enterprise,Remote,,3.0,0,3.0,103627,59.0,2024-05-09,Built ML pipeline for preprocessing
26,Male,B.Sc,4.0,Mid,SME,Tier-1,6.0,3.0,0,3.0,95773,67.0,2023-03-02,Built ML pipeline for preprocessing
25,Female,M.Sc,3.0,Junior,SME,Tier-3,4.0,2.0,0,2.0,69482,,2023-03-03,Built ML pipeline for preprocessing
30,Male,B.Sc,8.0,Senior,Enterprise,Tier-2,5.0,1.0,1,1.0,130274,58.0,2024-03-27,Built ML pipeline for preprocessing
25,Male,B.Sc,1.0,Mid,SME,Tier-1,3.0,3.0,1,1.0,67603,60.0,2023-10-04,Contributed to open-source NLP repo
32,Male,M.Sc,13.0,Lead,SME,Tier-3,3.0,1.0,1,0.0,177239,77.0,2023-06-08,Contributed to open-source NLP repo
30,Female,B.Sc,3.0,Junior,Startup,Tier-2,4.0,0.0,1,5.0,58167,68.0,2023-08-27,Built ML pipeline for preprocessing
29,Male,B.Sc+Cert,4.0,Mid,SME,Tier-1,3.0,1.0,0,3.0,83962,55.0,2023-02-12,Contributed to open-source NLP repo
25,Male,B.Sc+Cert,0.0,Mid,Enterprise,Tier-1,5.0,2.0,0,2.0,72806,75.0,2024-02-17,Contributed to open-source NLP repo
27,Male,B.Sc,6.0,Mid,Enterprise,Tier-1,7.0,2.0,1,1.0,97494,46.0,2024-03-14,Contributed to open-source NLP repo
35,Male,B.Sc,14.0,Junior,Enterprise,Remote,5.0,0.0,0,2.0,167728,70.0,2023-11-10,Contributed to open-source NLP repo
33,Male,M.Sc,9.0,Mid,Startup,Tier-2,6.0,3.0,0,2.0,123556,52.0,2023-06-01,Worked on microservices deployment
24,Male,B.Sc,0.0,Senior,Startup,Tier-1,1.0,0.0,0,1.0,46058,,2023-03-21,Contributed to open-source NLP repo
31,Male,B.Sc,,Mid,Startup,Remote,,1.0,0,1.0,111240,77.0,2023-05-17,No relevant project mentioned
35,Female,B.Sc,14.0,Junior,Enterprise,Tier-1,7.0,3.0,1,5.0,190681,65.0,2024-12-25,Built ML pipeline for preprocessing
20,Male,B.Sc+Cert,0.0,Mid,Startup,Tier-1,10.0,1.0,0,2.0,49867,66.0,2024-03-25,No relevant project mentioned
33,Male,B.Sc,10.0,Junior,Startup,Tier-1,4.0,1.0,0,0.0,106517,59.0,2024-01-21,Contributed to open-source NLP repo
26,Female,M.Sc,3.0,Junior,SME,Tier-2,6.0,0.0,0,1.0,56943,,2024-11-07,Built ML pipeline for preprocessing
33,Male,M.Sc,11.0,Mid,SME,Tier-1,6.0,1.0,0,1.0,142891,68.0,2024-01-18,Worked on microservices deployment
25,Male,B.Sc,1.0,Senior,Enterprise,Tier-2,6.0,2.0,1,3.0,72279,61.0,2023-06-14,Built ML pipeline for preprocessing
20,Male,B.Sc,0.0,Mid,SME,Remote,8.0,1.0,0,3.0,49774,52.0,2024-12-09,No relevant project mentioned
20,Male,PhD,0.0,Mid,SME,Tier-1,4.0,1.0,0,1.0,76941,57.0,2023-10-29,Built ML pipeline for preprocessing
30,Female,B.Sc,6.0,Junior,SME,Tier-1,9.0,2.0,0,6.0,85529,49.0,2023-02-17,No relevant project mentioned
32,Female,M.Sc,7.0,Mid,Enterprise,Tier-1,3.0,,0,5.0,135882,60.0,2023-05-07,Contributed to open-source NLP repo
25,Male,B.Sc,0.0,Junior,SME,Tier-2,7.0,,0,5.0,37528,66.0,2024-01-03,None
34,Male,B.Sc,12.0,Lead,SME,Remote,6.0,1.0,1,1.0,177331,69.0,2024-10-09,None
20,Female,B.Sc,,Senior,SME,Tier-1,,0.0,0,,59795,46.0,2023-02-01,None
30,Female,B.Sc,8.0,Mid,Startup,Tier-1,4.0,1.0,0,1.0,123667,66.0,2024-05-21,Contributed to open-source NLP repo
23,Female,B.Sc,1.0,Mid,Enterprise,Tier-1,5.0,1.0,1,1.0,77306,54.0,2024-09-04,Worked on microservices deployment
26,Male,M.Eng,5.0,Senior,Startup,Tier-1,3.0,1.0,1,5.0,100737,52.0,2023-03-18,None
30,Male,B.Sc,7.0,Mid,Enterprise,Tier-2,6.0,2.0,0,0.0,96037,55.0,2024-12-07,Experience in data cleaning and ETL
25,Female,B.Sc,1.0,Junior,Startup,Tier-1,4.0,0.0,0,4.0,38154,54.0,2023-07-20,Worked on microservices deployment
28,Male,B.Sc,5.0,Junior,Enterprise,Tier-1,3.0,1.0,0,2.0,88215,69.0,2023-03-09,No relevant project mentioned
36,Male,M.Sc,9.0,Mid,Enterprise,Tier-2,1.0,2.0,0,0.0,148322,56.0,2023-01-28,Contributed to open-source NLP repo
27,Male,B.Sc,4.0,Senior,SME,Tier-1,2.0,1.0,0,2.0,88443,56.0,2024-02-04,Worked on microservices deployment
35,Male,M.Sc,,Junior,SME,Tier-2,4.0,2.0,0,0.0,100837,44.0,2023-02-26,Experience in data cleaning and ETL
23,Male,B.Sc,1.0,Junior,SME,Tier-1,5.0,1.0,0,0.0,50738,49.0,2023-07-22,None
33,Male,,,Mid,SME,Remote,8.0,0.0,1,4.0,111238,51.0,2024-07-20,Contributed to open-source NLP repo
39,Female,B.Sc,15.0,Senior,Startup,Tier-1,,0.0,1,3.0,181751,,2023-03-24,Built ML pipeline for preprocessing
20,Male,M.Eng,0.0,Junior,SME,Remote,2.0,2.0,0,0.0,46279,,2024-09-09,Contributed to open-source NLP repo
25,Female,B.Sc,,Junior,Enterprise,Tier-1,,,0,6.0,43433,49.0,2023-09-08,Contributed to open-source NLP repo
33,Male,B.Sc,7.0,Mid,Startup,Tier-3,3.0,,0,0.0,91963,52.0,2023-12-08,None
29,Male,,4.0,Mid,Enterprise,Tier-1,5.0,1.0,0,1.0,99047,49.0,2024-02-27,No relevant project mentioned
32,Female,M.Eng,7.0,Junior,SME,Tier-2,6.0,0.0,0,0.0,100526,61.0,2024-03-14,Worked on microservices deployment
26,Male,B.Sc,,Junior,SME,Tier-1,6.0,1.0,1,0.0,44523,73.0,2024-02-18,None
31,Male,B.Sc,8.0,Mid,Enterprise,Tier-2,4.0,1.0,0,0.0,111385,53.0,2023-05-13,Built ML pipeline for preprocessing
29,Male,B.Sc,8.0,Mid,SME,Tier-2,5.0,2.0,0,4.0,115795,62.0,2024-03-04,Built ML pipeline for preprocessing
37,Male,B.Sc,15.0,Lead,SME,Tier-2,4.0,0.0,0,7.0,168607,62.0,2024-12-04,Contributed to open-source NLP repo
32,Female,M.Sc,9.0,Mid,Enterprise,Tier-2,5.0,0.0,1,5.0,134251,53.0,2024-06-27,Worked on microservices deployment
32,Female,M.Sc,6.0,Junior,Enterprise,Tier-1,,2.0,1,2.0,118667,64.0,2024-09-01,Contributed to open-source NLP repo
28,Male,B.Sc,6.0,Mid,Startup,Tier-1,5.0,1.0,1,3.0,97114,52.0,2023-09-25,Worked on microservices deployment
27,Male,,5.0,Mid,SME,Tier-2,9.0,1.0,0,2.0,84250,44.0,2023-04-17,Built ML pipeline for preprocessing
27,Male,B.Sc,4.0,Junior,SME,Tier-1,,1.0,1,1.0,77903,42.0,2023-03-07,Experience in data cleaning and ETL
32,Female,B.Sc,13.0,Senior,Startup,Tier-1,8.0,0.0,1,3.0,169181,,2023-02-21,Experience in data cleaning and ETL
27,Male,B.Sc,5.0,Senior,Startup,Tier-1,2.0,0.0,0,7.0,83395,72.0,2024-12-11,Experience in data cleaning and ETL
32,Male,M.Sc,8.0,Junior,SME,Tier-1,3.0,1.0,0,,106113,55.0,2023-10-15,Contributed to open-source NLP repo
42,Male,B.Sc+Cert,19.0,Junior,SME,Tier-2,2.0,0.0,1,1.0,188976,,2023-08-20,Contributed to open-source NLP repo
35,Male,PhD,,Junior,Enterprise,Tier-2,2.0,0.0,1,1.0,190110,61.0,2023-06-12,No relevant project mentioned
28,Male,B.Sc+Cert,5.0,Junior,Enterprise,Remote,4.0,2.0,1,1.0,100494,66.0,2023-08-29,Worked on microservices deployment
37,Female,M.Sc,,Mid,SME,Tier-1,4.0,1.0,0,2.0,159960,55.0,2024-01-25,Experience in data cleaning and ETL
28,Male,M.Sc,4.0,Mid,Startup,Remote,7.0,1.0,1,2.0,82002,64.0,2023-01-22,Contributed to open-source NLP repo
20,Male,B.Sc,2.0,Lead,Startup,Tier-2,4.0,0.0,0,0.0,67090,,2024-12-29,None
24,Female,M.Sc,0.0,Junior,SME,Remote,7.0,1.0,0,1.0,55462,71.0,2024-11-17,No relevant project mentioned
20,Female,B.Sc,0.0,Mid,SME,Tier-3,7.0,0.0,1,2.0,39428,51.0,2024-05-07,None
28,Male,B.Sc,2.0,Senior,Startup,Tier-2,8.0,0.0,1,2.0,66958,,2024-11-14,Experience in data cleaning and ETL
30,Male,M.Sc,7.0,Mid,SME,Tier-1,5.0,0.0,1,5.0,113743,41.0,2024-06-04,Built ML pipeline for preprocessing
40,Male,B.Sc,14.0,Junior,Enterprise,Tier-1,5.0,0.0,1,1.0,163300,,2023-12-28,Contributed to open-source NLP repo
32,Male,,,Junior,Enterprise,Tier-1,2.0,2.0,1,,101370,,2023-02-28,Built ML pipeline for preprocessing
29,Male,B.Sc+Cert,,Junior,Enterprise,Remote,3.0,0.0,0,1.0,61212,76.0,2024-04-29,None
35,Male,B.Sc,,Lead,SME,Remote,2.0,0.0,1,0.0,192614,52.0,2024-09-20,Built ML pipeline for preprocessing
20,Male,B.Sc,0.0,Senior,Startup,Tier-3,4.0,2.0,1,1.0,43181,,2023-04-11,Experience in data cleaning and ETL
31,Female,B.Sc+Cert,9.0,Senior,Startup,Remote,5.0,1.0,0,1.0,122506,52.0,2023-12-06,Contributed to open-source NLP repo
35,Male,M.Sc,12.0,Senior,Enterprise,Remote,,0.0,0,3.0,189574,65.0,2024-04-30,Contributed to open-source NLP repo
21,Male,B.Sc,0.0,Mid,SME,Tier-2,,1.0,0,1.0,35792,65.0,2024-11-19,Contributed to open-source NLP repo
37,Male,B.Sc,17.0,Senior,SME,Tier-2,5.0,0.0,1,5.0,184591,73.0,2023-01-16,Contributed to open-source NLP repo
32,Female,B.Sc,8.0,Lead,Startup,Tier-2,8.0,1.0,1,1.0,120501,61.0,2024-05-12,Contributed to open-source NLP repo
28,Female,B.Sc+Cert,5.0,Mid,SME,Tier-2,6.0,1.0,1,0.0,89322,52.0,2023-05-01,None
34,Female,M.Sc,12.0,Junior,Startup,Tier-1,6.0,1.0,0,0.0,138147,71.0,2023-08-02,Worked on microservices deployment
44,Female,B.Sc,22.0,Mid,Startup,Tier-2,,0.0,1,,249467,64.0,2023-11-26,Worked on microservices deployment
31,Female,B.Sc,8.0,Junior,SME,Tier-2,5.0,1.0,1,1.0,93667,51.0,2023-03-25,Contributed to open-source NLP repo
31,Male,B.Sc,10.0,Junior,SME,Tier-2,4.0,2.0,0,1.0,115155,,2023-06-30,No relevant project mentioned
27,Male,B.Sc+Cert,2.0,Senior,Startup,Remote,4.0,4.0,1,0.0,96066,,2024-01-21,Contributed to open-source NLP repo
25,Male,B.Sc,1.0,Senior,Startup,Tier-1,1.0,1.0,0,3.0,61674,50.0,2023-11-19,Experience in data cleaning and ETL
35,Female,M.Sc,10.0,Junior,Enterprise,Tier-1,8.0,2.0,1,3.0,150723,65.0,2024-07-07,None
25,Female,B.Sc,0.0,Mid,SME,Tier-3,,2.0,1,1.0,43761,57.0,2024-03-23,None
30,Male,M.Sc,8.0,Senior,SME,Tier-2,7.0,1.0,1,3.0,142590,73.0,2023-03-14,No relevant project mentioned
27,Male,B.Sc+Cert,3.0,Mid,SME,Tier-1,7.0,0.0,0,1.0,73344,52.0,2023-09-12,Experience in data cleaning and ETL
33,Male,M.Sc,11.0,Mid,Enterprise,Tier-2,2.0,1.0,0,0.0,129807,67.0,2024-11-30,Contributed to open-source NLP repo
32,Female,B.Sc,9.0,Mid,Startup,Tier-2,5.0,0.0,1,3.0,110448,60.0,2023-10-17,Built ML pipeline for preprocessing
36,Male,M.Sc,14.0,Senior,Startup,Remote,6.0,1.0,0,6.0,169683,62.0,2024-05-14,Experience in data cleaning and ETL
27,Male,M.Sc,7.0,Senior,SME,Tier-2,6.0,0.0,0,2.0,143654,60.0,2024-08-30,No relevant project mentioned
28,Male,B.Sc,6.0,Mid,Startup,Tier-1,1.0,0.0,0,1.0,93264,57.0,2024-08-10,Contributed to open-source NLP repo
24,Male,B.Sc+Cert,3.0,Junior,SME,Tier-2,5.0,0.0,0,1.0,64324,,2023-01-02,No relevant project mentioned
27,Female,M.Sc,3.0,Senior,SME,Remote,7.0,0.0,1,6.0,82417,49.0,2024-01-18,Built ML pipeline for preprocessing
32,Male,B.Sc+Cert,12.0,Junior,Enterprise,Tier-2,5.0,1.0,1,1.0,136536,55.0,2024-11-20,None
35,Female,M.Sc,9.0,Mid,Enterprise,Tier-3,4.0,2.0,0,3.0,126325,63.0,2023-04-22,Contributed to open-source NLP repo
24,Male,B.Sc,0.0,Junior,Enterprise,Tier-1,6.0,0.0,1,2.0,49130,60.0,2023-07-23,Worked on microservices deployment
35,Male,B.Sc,17.0,Mid,Startup,Remote,3.0,1.0,0,2.0,165394,53.0,2023-01-26,Experience in data cleaning and ETL
38,Male,B.Sc,19.0,Mid,Enterprise,Tier-3,2.0,2.0,0,0.0,189521,49.0,2023-04-18,Contributed to open-source NLP repo
32,Female,B.Sc+Cert,5.0,Junior,Startup,Tier-3,,5.0,1,0.0,77161,48.0,2024-11-07,Contributed to open-source NLP repo
41,Male,M.Sc,,Senior,SME,Tier-1,3.0,0.0,0,2.0,279619,60.0,2024-07-20,Built ML pipeline for preprocessing
25,Male,M.Sc,2.0,Junior,Enterprise,Remote,9.0,0.0,0,7.0,71489,65.0,2023-10-01,Worked on microservices deployment
23,Male,B.Sc,0.0,Senior,Startup,Tier-2,6.0,0.0,1,0.0,50820,63.0,2024-06-25,Built ML pipeline for preprocessing
20,Female,B.Sc,0.0,Senior,SME,Remote,4.0,1.0,0,2.0,64568,,2023-01-17,Contributed to open-source NLP repo
39,Male,M.Sc,,Junior,Startup,Tier-1,4.0,0.0,0,3.0,141004,60.0,2024-04-08,Worked on microservices deployment
34,Female,B.Sc,10.0,Mid,Startup,Tier-1,6.0,1.0,0,2.0,145821,56.0,2023-10-25,Built ML pipeline for preprocessing
30,Male,B.Sc,6.0,Junior,Enterprise,Tier-1,5.0,2.0,1,2.0,104941,56.0,2024-08-15,Experience in data cleaning and ETL
32,Male,M.Sc,6.0,Senior,Startup,Tier-2,4.0,2.0,0,3.0,84376,40.0,2024-01-31,Built ML pipeline for preprocessing
23,Male,B.Sc,,Mid,Startup,Tier-2,6.0,0.0,0,,39299,77.0,2023-01-27,Experience in data cleaning and ETL
45,Male,B.Sc,22.0,Junior,SME,Tier-2,4.0,1.0,1,1.0,184740,54.0,2023-07-02,Worked on microservices deployment
31,Male,B.Sc,9.0,Mid,Enterprise,Tier-2,8.0,1.0,1,5.0,144604,46.0,2024-05-30,No relevant project mentioned
31,Male,B.Sc,9.0,Mid,Startup,Tier-3,4.0,0.0,0,2.0,108002,53.0,2024-11-05,None
34,Male,PhD,13.0,Senior,SME,Tier-1,1.0,1.0,0,3.0,182065,51.0,2024-03-24,Worked on microservices deployment
33,Female,,10.0,Junior,Enterprise,Tier-1,3.0,0.0,0,0.0,121681,69.0,2023-11-28,None
31,Male,B.Sc,6.0,Mid,Startup,Remote,6.0,0.0,0,2.0,92502,62.0,2024-08-06,Worked on microservices deployment
25,Female,B.Sc,1.0,Junior,SME,Tier-2,6.0,2.0,1,0.0,46442,52.0,2024-03-31,Built ML pipeline for preprocessing
33,Male,,,Senior,Enterprise,Tier-2,5.0,1.0,0,1.0,165105,62.0,2024-08-10,Contributed to open-source NLP repo
41,Male,B.Sc,16.0,Junior,SME,Tier-2,7.0,1.0,0,0.0,176859,60.0,2024-02-24,Built ML pipeline for preprocessing
38,Male,M.Sc,15.0,Mid,Enterprise,Tier-2,4.0,2.0,1,5.0,165140,72.0,2023-08-28,Built ML pipeline for preprocessing
40,Male,B.Sc,18.0,Junior,Startup,Tier-1,,1.0,0,3.0,177474,54.0,2024-05-26,Worked on microservices deployment
27,Male,B.Sc,1.0,Mid,Enterprise,Tier-2,4.0,1.0,1,4.0,63224,56.0,2023-10-17,Experience in data cleaning and ETL
24,Male,B.Sc,0.0,Senior,Enterprise,Remote,6.0,1.0,0,1.0,68400,63.0,2024-03-14,Built ML pipeline for preprocessing
29,Male,M.Eng,,Senior,Startup,Tier-2,,1.0,0,5.0,123619,53.0,2024-06-06,Worked on microservices deployment
30,Male,B.Sc+Cert,,Senior,Startup,Tier-1,5.0,5.0,1,5.0,150408,60.0,2024-07-24,Worked on microservices deployment
37,Female,B.Sc,13.0,Mid,Enterprise,Tier-3,4.0,1.0,0,1.0,154283,66.0,2023-09-16,Built ML pipeline for preprocessing
20,Female,B.Sc,0.0,Senior,SME,Tier-1,3.0,1.0,0,1.0,61139,61.0,2024-12-14,Built ML pipeline for preprocessing
39,Male,B.Sc+Cert,17.0,Mid,SME,Tier-1,6.0,2.0,1,2.0,182091,74.0,2023-09-25,None
29,Male,B.Sc,4.0,Senior,SME,Remote,2.0,3.0,0,0.0,100303,68.0,2023-04-23,Experience in data cleaning and ETL
27,Male,M.Eng,7.0,Mid,Enterprise,Tier-1,5.0,1.0,0,7.0,157104,,2024-08-07,None
24,Male,B.Sc,0.0,Mid,Enterprise,Remote,,1.0,1,1.0,62090,,2024-02-09,Contributed to open-source NLP repo
20,Male,B.Sc+Cert,0.0,Junior,Startup,Tier-2,5.0,0.0,1,2.0,35567,58.0,2024-02-06,No relevant project mentioned
35,Male,M.Sc,,Mid,Startup,Tier-3,8.0,0.0,1,3.0,147754,69.0,2023-08-24,Worked on microservices deployment
30,Male,B.Sc+Cert,,Junior,Enterprise,Tier-2,4.0,1.0,1,1.0,126499,57.0,2023-01-06,Worked on microservices deployment
22,Male,M.Sc,0.0,Senior,Enterprise,Tier-1,7.0,0.0,0,0.0,107225,50.0,2024-08-23,None
22,Male,B.Sc,0.0,Mid,SME,Tier-2,8.0,3.0,1,0.0,50266,55.0,2023-04-24,Experience in data cleaning and ETL
28,Female,B.Sc+Cert,7.0,Lead,Enterprise,Remote,11.0,,1,2.0,178171,,2023-12-31,No relevant project mentioned
40,Female,B.Sc,14.0,Junior,Enterprise,Tier-3,4.0,0.0,0,0.0,146930,57.0,2023-11-17,None
28,Male,B.Sc,6.0,Junior,Startup,Tier-2,3.0,1.0,1,3.0,69314,80.0,2023-11-07,Experience in data cleaning and ETL
21,Female,M.Sc,0.0,Senior,Enterprise,Remote,9.0,1.0,0,1.0,96104,48.0,2023-06-17,None
29,Female,M.Sc,,Mid,SME,Tier-1,6.0,0.0,0,,115256,,2023-02-21,Built ML pipeline for preprocessing
28,Male,B.Sc+Cert,5.0,Mid,Startup,Tier-1,4.0,0.0,0,1.0,75401,61.0,2023-10-27,Contributed to open-source NLP repo
20,Male,,0.0,Senior,SME,Tier-1,6.0,2.0,0,0.0,56211,60.0,2023-03-03,None
